TYPE,DOCNO,ORDERNO,ODATE,RDATE,IDATE,REPCODE,STATUS,DESCRIP,ACCNO,CLIENT,ADDR1,ADDR2,ADDR3,PCODE,CORDER,CHECKER,REPCNT,PTYPE,QUOTENO,DEL,USER,EUSER,TIME,DOCNDX,DNAME,DADDR1,DADDR2,DADDR3,DINSTR1,DINSTR2,DINSTR3,EXCODE,EXRATE,DELIVER,CONSIGN
O,001520,001520,2024-07-15,2024-07-15,1899-12-30,001,I,,TC0700,TROPHY CENTRE,SHOP 010B; PARK BOULEVARD,SHOPPING CENTRE; 11 BROWN,DRIFT ROAD; UMGENI PARK; DURBA,,,ESTHER,4,1,,,ESTHER,ESTHER,14:19,O001520,"KOORNHOF & ESSEX RD, MEADOWDALE",P.O. BOX 60,UMGENI PARK,4098,THE MEADOW (KEMTRADE) CNR,,,00,1.0,C,N
I,001550,001519,1899-12-30,1899-12-30,2024-07-15,003,,,PA0400,PRESTIGE AWARDS (PTY) LTD,419 CORK AVE,"FERNDALE, RANDBURG",,,,,0,1,,,,,,I001519,,,,,,,,00,1.0,,
I,001551,001453,1899-12-30,1899-12-30,2024-07-16,003,,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,,,0,1,,,,,,I001453,,,,,,,,00,1.0,,
O,001521,001521,2024-07-16,2024-07-16,1899-12-30,003,I,,HD0100,HELIUM DESIGN CC,39 EDENDALE ROAD,"EDENGLEN, EDENVALE",,1609,,BIANCA P,1,1,,,BIANCA P,BIANCA P,07:52,O001521,,076 423 4210 KEITH,082 080 9473 GRANT,082 411 2878 ANDREA,,,,00,1.0,C,N
O,001522,001522,2024-07-16,2024-07-16,1899-12-30,001,I,,SN0200,TROJAN GLASSWORKS CC,"NGWENYA GLASS VILLAGE,",C/O BEYERS NAUDE&R114 DIEPSLOT,MULDERSDRIFT;,1747,,ESTHER,1,1,,,ESTHER,ESTHER,08:24,O001522,(MONIQUE),P.O.BOX 321,MULDERSDRIFT 1747,BUZZ: 082-785-7397,,,,00,1.0,C,N
I,001553,001518,1899-12-30,1899-12-30,2024-07-16,003,,,CC0100,CRYSTAL CONCEPTS,10 ROSS STREET,BOKSBURG WEST,,1460,,,0,1,,,,,,I001518,,,,,,,,00,1.0,,
O,001523,001523,2024-07-16,2024-07-16,1899-12-30,001,C,,MSB010,MDLAYI SPORTS BRAND,20685 ORINOCO CRESCENT,PROTEA GLEN EXT 20 SOWETO,GAUTENG,1818,,,2,1,,,ESTHER,ESTHER,09:10,O001523,,,,,TROPHIES.BADGES@GMAIL.COM,,,00,1.0,C,N
I,001554,001522,1899-12-30,1899-12-30,2024-07-16,001,,,SN0200,TROJAN GLASSWORKS CC,"NGWENYA GLASS VILLAGE,",C/O BEYERS NAUDE&R114 DIEPSLOT,MULDERSDRIFT;,1747,,,0,1,,,,,,I001522,,,,,,,,00,1.0,,
I,001555,001515,1899-12-30,1899-12-30,2024-07-16,003,,,TB0100,TROPHY BOUTIQUE,301 TREVOR GETHING; CNR OF,JACQUELINE & TREVOR GETHING,"GARSFONTEIN, PRETORIA",0042,,,0,1,,,,,,I001515,,,,,,,,00,1.0,,
I,001556,001520,1899-12-30,1899-12-30,2024-07-16,001,,,TC0700,TROPHY CENTRE,SHOP 010B; PARK BOULEVARD,SHOPPING CENTRE; 11 BROWN,DRIFT ROAD; UMGENI PARK; DURBA,,,,0,1,,,,,,I001520,,,,,,,,00,1.0,,
O,001524,001524,2024-07-16,2024-07-16,1899-12-30,001,I,,TSS020,TROPHY SUPA SUPPLY T/A TROPHYCITY MEGA S,ALLANDALE INDUSTRIAL PARK,"UNIT G85,CNR LE ROUX& MORKELS",MIDRAND,,,ESTHER,3,1,,,ESTHER,ESTHER,10:51,O001524,,P.O. BOX 75724,GARDENVIEW,2047,CHRISTINE (ACCOUNTS),,,00,1.0,C,N
O,001525,001525,2024-07-16,2024-07-16,1899-12-30,001,I,,SN0200,TROJAN GLASSWORKS CC,"NGWENYA GLASS VILLAGE,",C/O BEYERS NAUDE&R114 DIEPSLOT,MULDERSDRIFT;,1747,,ESTHER,1,1,,,ESTHER,ESTHER,11:04,O001525,(MONIQUE),P.O.BOX 321,MULDERSDRIFT 1747,BUZZ: 082-785-7397,,,,00,1.0,C,N
I,001557,001525,1899-12-30,1899-12-30,2024-07-16,001,,,SN0200,TROJAN GLASSWORKS CC,"NGWENYA GLASS VILLAGE,",C/O BEYERS NAUDE&R114 DIEPSLOT,MULDERSDRIFT;,1747,,,0,1,,,,,,I001525,,,,,,,,00,1.0,,
I,001559,001524,1899-12-30,1899-12-30,2024-07-16,001,,,TSS020,TROPHY SUPA SUPPLY T/A TROPHYCITY MEGA S,ALLANDALE INDUSTRIAL PARK,"UNIT G85,CNR LE ROUX& MORKELS",MIDRAND,,,,0,1,,,,,,I001524,,,,,,,,00,1.0,,
O,001526,001526,2024-07-16,2024-07-16,1899-12-30,001,I,,TSS020,TROPHY SUPA SUPPLY T/A TROPHYCITY MEGA S,ALLANDALE INDUSTRIAL PARK,"UNIT G85,CNR LE ROUX& MORKELS",MIDRAND,,,ESTHER,4,1,,,ESTHER,ESTHER,15:30,O001526,,P.O. BOX 75724,GARDENVIEW,2047,CHRISTINE (ACCOUNTS),,,00,1.0,C,N
O,001527,001527,2024-07-16,2024-07-16,1899-12-30,003,I,,ICE010,ICE INC PTY LTD,390 MENDHI STREET,LAUDIUM,,,,BIANCA P,6,1,,,BIANCA P,BIANCA P,15:51,O001527,,,,,,,,00,1.0,C,N
O,001528,001528,2024-07-16,2024-07-16,1899-12-30,003,I,,CIG010,CAST IN GLASS,7 SERCAL CRESCENT,"GOEDEMOED, DURBANVILLE",,7550,,BIANCA P,2,1,,,BIANCA P,BIANCA P,16:00,O001528,,BOX 1743,DURBANVILLE,7551,,,,00,1.0,C,N
O,001529,001529,2024-07-17,2024-07-17,1899-12-30,001,I,,SN0200,TROJAN GLASSWORKS CC,"NGWENYA GLASS VILLAGE,",C/O BEYERS NAUDE&R114 DIEPSLOT,MULDERSDRIFT;,1747,,ESTHER,1,1,,,ESTHER,ESTHER,08:18,O001529,(MONIQUE),P.O.BOX 321,MULDERSDRIFT 1747,BUZZ: 082-785-7397,,,,00,1.0,C,N
I,001561,001529,1899-12-30,1899-12-30,2024-07-17,001,,,SN0200,TROJAN GLASSWORKS CC,"NGWENYA GLASS VILLAGE,",C/O BEYERS NAUDE&R114 DIEPSLOT,MULDERSDRIFT;,1747,,,0,1,,,,,,I001529,,,,,,,,00,1.0,,
I,001562,001528,1899-12-30,1899-12-30,2024-07-17,003,,,CIG010,CAST IN GLASS,7 SERCAL CRESCENT,"GOEDEMOED, DURBANVILLE",,7550,,,0,1,,,,,,I001528,,,,,,,,00,1.0,,
I,001563,001521,1899-12-30,1899-12-30,2024-07-17,003,,,HD0100,HELIUM DESIGN CC,39 EDENDALE ROAD,"EDENGLEN, EDENVALE",,1609,,,0,1,,,,,,I001521,,,,,,,,00,1.0,,
O,001530,001530,2024-07-17,2024-07-17,1899-12-30,001,I,,TP0200,TROPHIES AND PLAQUES (PTY) LTD,TRADING AS: TROPHYSTORE,"UNIT H1 ROETE 24, 50 HERMAN ST","MEADOWDALE, GERMISTON",1609,,ESTHER,1,1,,,ESTHER,ESTHER,12:11,O001530,,,,,ELOISE@TROPHYSTORE.CO.ZA,,,00,1.0,C,N
I,001564,001530,1899-12-30,1899-12-30,2024-07-17,001,,,TP0200,TROPHIES AND PLAQUES (PTY) LTD,TRADING AS: TROPHYSTORE,"UNIT H1 ROETE 24, 50 HERMAN ST","MEADOWDALE, GERMISTON",1609,,,0,1,,,,,,I001530,,,,,,,,00,1.0,,
O,001531,001531,2024-07-18,2024-07-18,1899-12-30,001,I,,MM0200,ON 68 PRETORIA ROAD,T/A MOMENTUS MOMENTS,68 PRETORIA ROAD,RYNFIELD; BENONI,1501,,ESTHER,1,1,,,ESTHER,ESTHER,10:01,O001531,OLD OWNER: JUDESM@TELKOMSA.NET,ACCOUNT CREATED 23/01/2017,OLD: 7 DOUGLAS AVE,"           FARRARMERE, BENONI",,,,00,1.0,C,N
O,001532,001532,2024-07-18,2024-07-18,1899-12-30,003,I,,HD0100,HELIUM DESIGN CC,39 EDENDALE ROAD,"EDENGLEN, EDENVALE",,1609,,BIANCA P,1,1,,,BIANCA P,BIANCA P,10:46,O001532,,076 423 4210 KEITH,082 080 9473 GRANT,082 411 2878 ANDREA,,,,00,1.0,C,N
O,001533,001533,2024-07-18,2024-07-18,1899-12-30,003,I,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,SIFISO,BIANCA P,1,1,,,BIANCA P,BIANCA P,10:46,O001533,,,,,,,,00,1.0,C,N
O,001534,001534,2024-07-18,2024-07-18,1899-12-30,003,I,,TB0100,TROPHY BOUTIQUE,301 TREVOR GETHING; CNR OF,JACQUELINE & TREVOR GETHING,"GARSFONTEIN, PRETORIA",0042,,BIANCA P,2,1,,,BIANCA P,BIANCA P,14:26,O001534,,P.O. BOX 335,GARSFONTEIN WEST,0042,COENIE@TROPHYMB.CO.ZA,,,00,1.0,C,N
O,001535,001535,2024-07-18,2024-07-18,1899-12-30,003,I,,TA0100,ANTEL TRADING (PTY) LTD,T/A: TROPHY AFRICA,SHOP 3; HEATHWAY CENTRE,BLACKHEATH,,,BIANCA P,3,1,,,BIANCA P,BIANCA P,14:26,O001535,BRUCE: 0823308029,,"PO BOX 2134, NORTHCLIFF, 2115",OLD OWNERS: ELSABE,MAIL@TROPHYAFRICA.CO.ZA,,,00,1.0,C,N
O,001536,001536,2024-07-18,2024-07-18,1899-12-30,003,I,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,EBA,BIANCA P,1,1,,,BIANCA P,BIANCA P,14:27,O001536,,,,,,,,00,1.0,C,N
O,001537,001537,2024-07-18,2024-07-18,1899-12-30,003,I,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,KANU,BIANCA P,1,1,,,BIANCA P,BIANCA P,14:28,O001537,,,,,,,,00,1.0,C,N
O,001538,001538,2024-07-18,2024-07-18,1899-12-30,003,I,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,IFE,BIANCA P,1,1,,,BIANCA P,BIANCA P,14:29,O001538,,,,,,,,00,1.0,C,N
I,001565,001496,1899-12-30,1899-12-30,2024-07-18,003,,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,ALM,,0,1,,,,,,I001496,,,,,,,,00,1.0,,
O,001539,001539,2024-07-18,2024-07-18,1899-12-30,003,I,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,SUN BET,BIANCA P,1,1,,,BIANCA P,BIANCA P,14:32,O001539,,,,,,,,00,1.0,C,N
O,001540,001540,2024-07-18,2024-07-18,1899-12-30,003,I,,PA0400,PRESTIGE AWARDS (PTY) LTD,419 CORK AVE,"FERNDALE, RANDBURG",,,,BIANCA P,1,1,,,BIANCA P,BIANCA P,15:40,O001540,,P.O. BOX 444,FERNDALE 2160,LESLEY/JENNY,JENNY / FIONA,,,00,1.0,C,N
I,001566,001537,1899-12-30,1899-12-30,2024-07-19,003,,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,KANU,,0,1,,,,,,I001537,,,,,,,,00,1.0,,
I,001567,001538,1899-12-30,1899-12-30,2024-07-19,003,,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,IFE,,0,1,,,,,,I001538,,,,,,,,00,1.0,,
I,001568,001539,1899-12-30,1899-12-30,2024-07-19,003,,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,SUN BET,,0,1,,,,,,I001539,,,,,,,,00,1.0,,
I,001569,001526,1899-12-30,1899-12-30,2024-07-19,001,,,TSS020,TROPHY SUPA SUPPLY T/A TROPHYCITY MEGA S,ALLANDALE INDUSTRIAL PARK,"UNIT G85,CNR LE ROUX& MORKELS",MIDRAND,,,,0,1,,,,,,I001526,,,,,,,,00,1.0,,
I,001570,001534,1899-12-30,1899-12-30,2024-07-19,003,,,TB0100,TROPHY BOUTIQUE,301 TREVOR GETHING; CNR OF,JACQUELINE & TREVOR GETHING,"GARSFONTEIN, PRETORIA",0042,,,0,1,,,,,,I001534,,,,,,,,00,1.0,,
I,001571,001531,1899-12-30,1899-12-30,2024-07-19,001,,,MM0200,ON 68 PRETORIA ROAD,T/A MOMENTUS MOMENTS,68 PRETORIA ROAD,RYNFIELD; BENONI,1501,,,0,1,,,,,,I001531,,,,,,,,00,1.0,,
I,001572,001540,1899-12-30,1899-12-30,2024-07-19,003,,,PA0400,PRESTIGE AWARDS (PTY) LTD,419 CORK AVE,"FERNDALE, RANDBURG",,,,,0,1,,,,,,I001540,,,,,,,,00,1.0,,
I,001573,001532,1899-12-30,1899-12-30,2024-07-19,003,,,HD0100,HELIUM DESIGN CC,39 EDENDALE ROAD,"EDENGLEN, EDENVALE",,1609,,,0,1,,,,,,I001532,,,,,,,,00,1.0,,
O,001541,001541,2024-07-19,2024-07-19,1899-12-30,003,I,,MS0200,MANLY SCREENPRINTERS,NABOOM STRAAT 9,GOLFPARK,MEYERTON,1960,,BIANCA P,1,1,000203,,BIANCA P,BIANCA P,10:54,O001541,"KRUGER ST, VANDERBIJLPARK",P.O. BOX 5338,VANDERBIJLPARK,1900,"OLD: ALPHA GEBOU, PRES",,,00,1.0,C,N
I,001574,001541,1899-12-30,1899-12-30,2024-07-19,003,,,MS0200,MANLY SCREENPRINTERS,NABOOM STRAAT 9,GOLFPARK,MEYERTON,1960,,,0,1,,,,,,I001541,,,,,,,,00,1.0,,
O,001542,001542,2024-07-19,2024-07-19,1899-12-30,001,I,,CP0100,CLASSIQUE PROMOTIONS,452 KERSTREL CRESCENT,RABIE RIDGE,MIDRAND,,,ESTHER,1,1,,,ESTHER,ESTHER,14:38,O001542,,,,,,,,00,1.0,C,N
I,001576,001542,1899-12-30,1899-12-30,2024-07-19,001,,,CP0100,CLASSIQUE PROMOTIONS,452 KERSTREL CRESCENT,RABIE RIDGE,MIDRAND,,,,0,1,,,,,,I001542,,,,,,,,00,1.0,,
O,001543,001543,2024-07-22,2024-07-22,1899-12-30,003,I,,HD0100,HELIUM DESIGN CC,39 EDENDALE ROAD,"EDENGLEN, EDENVALE",,1609,,BIANCA P,1,1,,,BIANCA P,BIANCA P,08:50,O001543,,076 423 4210 KEITH,082 080 9473 GRANT,082 411 2878 ANDREA,,,,00,1.0,C,N
O,001544,001544,2024-07-22,2024-07-22,1899-12-30,001,I,,3DCS01,3D CRYSTAL STUDIOS,11 ROOS BOLTON CRESCENT,KNYSNA HEIGHTS,"KNYSNA, WESTERN CAPE",6571,,ESTHER,1,1,,,ESTHER,ESTHER,10:10,O001544,,"55 VISTA RD, WATERFALL",3610,,NIELDRICHARD@GMAIL.COM,,,00,1.0,C,N
I,001577,001508,1899-12-30,1899-12-30,2024-07-22,003,,,TT0700,TRUST TROPHIES,3 BUSHBUCK STR,"MCKENZIE PARK, BENONI",,1501,,,0,1,,,,,,I001508,,,,,,,,00,1.0,,
I,001580,001543,1899-12-30,1899-12-30,2024-07-22,003,,,HD0100,HELIUM DESIGN CC,39 EDENDALE ROAD,"EDENGLEN, EDENVALE",,1609,,,0,1,,,,,,I001543,,,,,,,,00,1.0,,
O,001545,001545,2024-07-22,2024-07-22,1899-12-30,003,I,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,NOLANDS,BIANCA P,1,1,,,BIANCA P,BIANCA P,13:04,O001545,,,,,,,,00,1.0,C,N
O,001546,001546,2024-07-22,2024-07-22,1899-12-30,003,I,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,WWP,BIANCA P,1,1,,,BIANCA P,BIANCA P,13:13,O001546,,,,,,,,00,1.0,C,N
O,001547,001547,2024-07-22,2024-07-22,1899-12-30,003,I,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,MC CANNS,BIANCA P,1,1,,,BIANCA P,BIANCA P,13:14,O001547,,,,,,,,00,1.0,C,N
O,001548,001548,2024-07-22,2024-07-22,1899-12-30,001,I,,TSS020,TROPHY SUPA SUPPLY T/A TROPHYCITY MEGA S,ALLANDALE INDUSTRIAL PARK,"UNIT G85,CNR LE ROUX& MORKELS",MIDRAND,,,ESTHER,5,1,,,ESTHER,ESTHER,15:08,O001548,,P.O. BOX 75724,GARDENVIEW,2047,CHRISTINE (ACCOUNTS),,,00,1.0,C,N
O,001549,001549,2024-07-22,2024-07-22,1899-12-30,003,I,,TB0100,TROPHY BOUTIQUE,301 TREVOR GETHING; CNR OF,JACQUELINE & TREVOR GETHING,"GARSFONTEIN, PRETORIA",0042,,BIANCA P,4,1,,,BIANCA P,BIANCA P,15:48,O001549,,P.O. BOX 335,GARSFONTEIN WEST,0042,COENIE@TROPHYMB.CO.ZA,,,00,1.0,C,N
O,001550,001550,2024-07-22,2024-07-22,1899-12-30,003,I,,TE0300,TOCKNELL ENGRAVERS,SHOP 9 PRELLER WALK,GEN HERTZOG AVE; DAN PIENAAR,BLOEMFONTEIN,9324,,BIANCA P,3,1,,,BIANCA P,BIANCA P,15:48,O001550,,"OLD: SHOP 37, BRANDWAG CENTRE",BLOEMFONTEIN,POB 12828;BRANDHOF;9324,,,,00,1.0,C,N
O,001551,001551,2024-07-23,2024-07-23,1899-12-30,001,I,,MSB010,MDLAYI SPORTS BRAND,20685 ORINOCO CRESCENT,PROTEA GLEN EXT 20 SOWETO,GAUTENG,1818,,ESTHER,3,1,,,ESTHER,ESTHER,07:33,O001551,,,,,TROPHIES.BADGES@GMAIL.COM,,,00,1.0,C,N
I,001581,001545,1899-12-30,1899-12-30,2024-07-23,003,,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,NOLANDS,,0,1,,,,,,I001545,,,,,,,,00,1.0,,
I,001582,001546,1899-12-30,1899-12-30,2024-07-23,003,,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,WWP,,0,1,,,,,,I001546,,,,,,,,00,1.0,,
I,001583,001551,1899-12-30,1899-12-30,2024-07-23,001,,,MSB010,MDLAYI SPORTS BRAND,20685 ORINOCO CRESCENT,PROTEA GLEN EXT 20 SOWETO,GAUTENG,1818,,,0,1,,,,,,I001551,,,,,,,,00,1.0,,
O,001552,001552,2024-07-23,2024-07-23,1899-12-30,001,I,,FP0200,FIRST PRIZE TROPHIES,3785 JAN FREDERICK AVE,RANDPARK RIDGE,,,,ESTHER,3,1,,,ESTHER,ESTHER,08:41,O001552,INFO/SALES@FIRSTPRIZE.CO.ZA,P O BOX 2435,HONEYDEW,2040,NOELEN@FIRSTPRIZE.CO.ZA,,,00,1.0,C,N
O,001553,001553,2024-07-23,2024-07-23,1899-12-30,001,I,,T4U010,RUBBER STAMP COMPANY(PTY)LTD,"SHOP 1, CHAMBERLAINS",44 CHAMBERLAIN RD,"BEREA, EAST LONDON",5241,,ESTHER,2,1,,,ESTHER,ESTHER,09:01,O001553,,P O BOX 19363,TECOMA,5214,,,,00,1.0,C,N
I,001584,001544,1899-12-30,1899-12-30,2024-07-23,001,,,3DCS01,3D CRYSTAL STUDIOS,11 ROOS BOLTON CRESCENT,KNYSNA HEIGHTS,"KNYSNA, WESTERN CAPE",6571,,,0,1,,,,,,I001544,,,,,,,,00,1.0,,
O,001554,001554,2024-07-23,2024-07-23,1899-12-30,001,I,,CP0100,CLASSIQUE PROMOTIONS,452 KERSTREL CRESCENT,RABIE RIDGE,MIDRAND,,,ESTHER,1,1,,,ESTHER,ESTHER,09:27,O001554,,,,,,,,00,1.0,C,N
O,001555,001555,2024-07-23,2024-07-23,1899-12-30,003,I,,PA0400,PRESTIGE AWARDS (PTY) LTD,419 CORK AVE,"FERNDALE, RANDBURG",,,,BIANCA P,1,1,,,BIANCA P,BIANCA P,10:59,O001555,,P.O. BOX 444,FERNDALE 2160,LESLEY/JENNY,JENNY / FIONA,,,00,1.0,C,N
I,001585,001555,1899-12-30,1899-12-30,2024-07-23,003,,,PA0400,PRESTIGE AWARDS (PTY) LTD,419 CORK AVE,"FERNDALE, RANDBURG",,,,,0,1,,,,,,I001555,,,,,,,,00,1.0,,
I,001587,001553,1899-12-30,1899-12-30,2024-07-23,001,,,T4U010,RUBBER STAMP COMPANY(PTY)LTD,"SHOP 1, CHAMBERLAINS",44 CHAMBERLAIN RD,"BEREA, EAST LONDON",5241,,,0,1,,,,,,I001553,,,,,,,,00,1.0,,
O,001556,001556,2024-07-23,2024-07-23,1899-12-30,003,,,IT0100,ITROPHIES (PTY) LTD,80 MAIN ROAD,FARRAMERE,BENONI,,,,1,1,,,BIANCA P,BIANCA P,14:06,O001556,,,,,,,,00,1.0,C,N
O,001557,001557,2024-07-23,2024-07-23,1899-12-30,001,I,,TC0700,TROPHY CENTRE,SHOP 010B; PARK BOULEVARD,SHOPPING CENTRE; 11 BROWN,DRIFT ROAD; UMGENI PARK; DURBA,,,ESTHER,2,1,,,ESTHER,ESTHER,14:28,O001557,"KOORNHOF & ESSEX RD, MEADOWDALE",P.O. BOX 60,UMGENI PARK,4098,THE MEADOW (KEMTRADE) CNR,,,00,1.0,C,N
I,001588,001557,1899-12-30,1899-12-30,2024-07-23,001,,,TC0700,TROPHY CENTRE,SHOP 010B; PARK BOULEVARD,SHOPPING CENTRE; 11 BROWN,DRIFT ROAD; UMGENI PARK; DURBA,,,,0,1,,,,,,I001557,,,,,,,,00,1.0,,
O,001558,001558,2024-07-24,2024-07-24,1899-12-30,003,,,IT0100,ITROPHIES (PTY) LTD,80 MAIN ROAD,FARRAMERE,BENONI,,,,1,1,,,BIANCA P,BIANCA P,09:14,O001558,,,,,,,,00,1.0,C,N
O,001559,001559,2024-07-24,2024-07-24,1899-12-30,001,I,,SPW010,SPORTWIZE (PTY) LTD,1033 ROAD,3 ALLENS NEK,ROODEPOORT,,,ESTHER,1,1,,,ESTHER,ESTHER,09:38,O001559,,,,,,,,00,1.0,C,N
I,001589,001548,1899-12-30,1899-12-30,2024-07-24,001,,,TSS020,TROPHY SUPA SUPPLY T/A TROPHYCITY MEGA S,ALLANDALE INDUSTRIAL PARK,"UNIT G85,CNR LE ROUX& MORKELS",MIDRAND,,,,0,1,,,,,,I001548,,,,,,,,00,1.0,,
I,001590,001549,1899-12-30,1899-12-30,2024-07-24,003,,,TB0100,TROPHY BOUTIQUE,301 TREVOR GETHING; CNR OF,JACQUELINE & TREVOR GETHING,"GARSFONTEIN, PRETORIA",0042,,,0,1,,,,,,I001549,,,,,,,,00,1.0,,
I,001591,001552,1899-12-30,1899-12-30,2024-07-24,001,,,FP0200,FIRST PRIZE TROPHIES,3785 JAN FREDERICK AVE,RANDPARK RIDGE,,,,,0,1,,,,,,I001552,,,,,,,,00,1.0,,
O,001560,001560,2024-07-24,2024-07-24,1899-12-30,003,I,,T01000,DANAUS TRADING,TRADING AS:    TROMED,70 MOLLISON ROAD; BENONI NORTH,"AGRICULTURAL HOLDINGS, BENONI",1501,,BIANCA P,1,1,,,BIANCA P,BIANCA P,11:09,O001560,,"PO BOX 6179, RIVONIA, 2128",,RON CK: CK91/34369/23,"OLD: PBOX 9393, BRENTWOOD PARK",,,00,1.0,C,N
I,001592,001560,1899-12-30,1899-12-30,2024-07-24,003,,,T01000,DANAUS TRADING,TRADING AS:    TROMED,70 MOLLISON ROAD; BENONI NORTH,"AGRICULTURAL HOLDINGS, BENONI",1501,,,0,1,,,,,,I001560,,,,,,,,00,1.0,,
O,001561,001561,2024-07-24,2024-07-24,1899-12-30,003,I,,IT0100,ITROPHIES (PTY) LTD,80 MAIN ROAD,FARRAMERE,BENONI,,,BIANCA P,1,1,,,BIANCA P,BIANCA P,12:01,O001561,,,,,,,,00,1.0,C,N
O,001562,001562,2024-07-24,2024-07-24,1899-12-30,003,I,,PA0400,PRESTIGE AWARDS (PTY) LTD,419 CORK AVE,"FERNDALE, RANDBURG",,,,BIANCA P,1,1,,,BIANCA P,BIANCA P,12:07,O001562,,P.O. BOX 444,FERNDALE 2160,LESLEY/JENNY,JENNY / FIONA,,,00,1.0,C,N
I,001594,001562,1899-12-30,1899-12-30,2024-07-24,003,,,PA0400,PRESTIGE AWARDS (PTY) LTD,419 CORK AVE,"FERNDALE, RANDBURG",,,,,0,1,,,,,,I001562,,,,,,,,00,1.0,,
I,001595,001561,1899-12-30,1899-12-30,2024-07-24,003,,,IT0100,ITROPHIES (PTY) LTD,80 MAIN ROAD,FARRAMERE,BENONI,,,,0,1,,,,,,I001561,,,,,,,,00,1.0,,
O,001563,001563,2024-07-24,2024-07-24,1899-12-30,001,I,,SM0200,SOURCING MAGIC,P.O. BOX 353,MAGALIESIG,,2067,,ESTHER,2,1,,,ESTHER,ESTHER,12:35,O001563,,,,,WAS SOURCING MAGIC,,,00,1.0,C,N
I,001596,001559,1899-12-30,1899-12-30,2024-07-24,001,,,SPW010,SPORTWIZE (PTY) LTD,1033 ROAD,3 ALLENS NEK,ROODEPOORT,,,,0,1,,,,,,I001559,,,,,,,,00,1.0,,
I,001597,001535,1899-12-30,1899-12-30,2024-07-24,003,,,TA0100,ANTEL TRADING (PTY) LTD,T/A: TROPHY AFRICA,SHOP 3; HEATHWAY CENTRE,BLACKHEATH,,,,0,1,,,,,,I001535,,,,,,,,00,1.0,,
I,001598,001536,1899-12-30,1899-12-30,2024-07-24,003,,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,EBA,,0,1,,,,,,I001536,,,,,,,,00,1.0,,
I,001599,001563,1899-12-30,1899-12-30,2024-07-24,001,,,SM0200,SOURCING MAGIC,P.O. BOX 353,MAGALIESIG,,2067,,,0,1,,,,,,I001563,,,,,,,,00,1.0,,
O,001564,001564,2024-07-24,2024-07-24,1899-12-30,001,I,,TJ0100,TROPHY JUNCTION,175 KENT AVENUE,"FERNDALE RIDGE, RANDBURG",,,P/O 1923,ESTHER,1,1,,,ESTHER,ESTHER,14:28,O001564,,P.O. BOX 1382,PIINEGOWRIE,2123,STATION@TROPHYJUNCTION.CO.ZA,,,00,1.0,C,N
I,001600,001564,1899-12-30,1899-12-30,2024-07-24,001,,,TJ0100,TROPHY JUNCTION,175 KENT AVENUE,"FERNDALE RIDGE, RANDBURG",,,P/O 1923,,0,1,,,,,,I001564,,,,,,,,00,1.0,,
O,001565,001565,2024-07-24,2024-07-24,1899-12-30,001,I,,NT0300,NEL TROPHIES,SHOP 27; ORCHARD SHOPPING,CENTRE; VALENICA PARK,NELSPRUIT,1200,,ESTHER,2,1,,,ESTHER,ESTHER,15:00,O001565,OLD: SHOP 208 KA-MKHOLO BUILDING,P.O. BOX 742 NELSPRUIT,BADRESH: 084 496 2500,NUTAN: 083 654 0338,OLD: NELTROPHY@MWEB.CO.ZA,,,00,1.0,C,N
